system,schema,transaction,framework,sql_ms,orm_ms,additional_ms,overhead
postgresql,indexed,T1,django,19.842,35.812999999999995,15.970999999999998,80.49087793569197
postgresql,indexed,T1,sqlalchemy,33.186,64.493,31.306999999999995,94.3379738443922
postgresql,indexed,T2,django,4.643000000000001,12.958,8.315,179.08679732931293
postgresql,indexed,T2,sqlalchemy,5.594,11.715,6.1209999999999996,109.42080800858061
postgresql,indexed,T3,django,15.955,18.927,2.971999999999999,18.627389533061734
postgresql,indexed,T3,sqlalchemy,14.402,18.669,4.267000000000002,29.62782946812943
postgresql,indexed,T4,django,45.67100000000001,109.581,63.91,139.93562654638606
postgresql,indexed,T4,sqlalchemy,47.447,135.158,87.711,184.86100280312766
postgresql,indexed,T5,django,73.284,84.002,10.717999999999991,14.625293379182347
postgresql,indexed,T5,sqlalchemy,60.732,65.629,4.897000000000006,8.063294474082872
postgresql,non-indexed,T1,django,21.878999999999998,55.748,33.869,154.80140774258425
postgresql,non-indexed,T1,sqlalchemy,29.692,47.275999999999996,17.584,59.22133908123399
postgresql,non-indexed,T2,django,5.056,12.383,7.327,144.91693037974684
postgresql,non-indexed,T2,sqlalchemy,6.133,11.967,5.834,95.12473503994781
postgresql,non-indexed,T3,django,4.904999999999999,9.398,4.493,91.60040774719675
postgresql,non-indexed,T3,sqlalchemy,8.543000000000001,20.072,11.529,134.95259276600726
postgresql,non-indexed,T4,django,27.692999999999998,95.68799999999999,67.995,245.53136171595708
postgresql,non-indexed,T4,sqlalchemy,44.285,132.728,88.44300000000003,199.71322118098684
postgresql,non-indexed,T5,django,67.53,90.44800000000001,22.917999999999992,33.93750925514585
postgresql,non-indexed,T5,sqlalchemy,73.64099999999999,73.81500000000001,0.17400000000000748,0.2362814193180629
mysql,indexed,T1,django,29.373,55.218,25.845000000000002,87.98896946175061
mysql,indexed,T1,sqlalchemy,34.302,53.54,19.238,56.084193341496125
mysql,indexed,T2,django,11.054,16.854,5.800000000000002,52.46969422833365
mysql,indexed,T2,sqlalchemy,10.538,19.173,8.634999999999998,81.94154488517744
mysql,indexed,T3,django,9.671000000000001,18.233,8.561999999999998,88.53272670871677
mysql,indexed,T3,sqlalchemy,8.911000000000001,14.373000000000001,5.462,61.295028616316905
mysql,indexed,T4,django,39.074999999999996,136.189,97.114,248.53230966090854
mysql,indexed,T4,sqlalchemy,87.21900000000001,148.80599999999998,61.58699999999999,70.61190795583529
mysql,indexed,T5,django,11.969000000000001,19.994,8.025,67.0482078703317
mysql,indexed,T5,sqlalchemy,19.249,14.299,-4.949999999999999,-25.715621590731985
mysql,non-indexed,T1,django,26.463,54.202,27.739,104.82182670143216
mysql,non-indexed,T1,sqlalchemy,38.434999999999995,33.653000000000006,-4.781999999999995,-12.441784831533742
mysql,non-indexed,T2,django,9.894,18.08,8.185999999999998,82.73701233070547
mysql,non-indexed,T2,sqlalchemy,11.126000000000001,16.59,5.464,49.11019234226137
mysql,non-indexed,T3,django,13.254999999999999,13.369000000000002,0.11400000000000125,0.8600528102602922
mysql,non-indexed,T3,sqlalchemy,10.133,17.410999999999998,7.278,71.82473107668015
mysql,non-indexed,T4,django,100.478,166.075,65.59700000000001,65.28493799637731
mysql,non-indexed,T4,sqlalchemy,61.594,141.538,79.94399999999999,129.7918628437835
mysql,non-indexed,T5,django,11.091,18.084,6.992999999999999,63.05112253178251
mysql,non-indexed,T5,sqlalchemy,14.015,15.032,1.0170000000000006,7.256510881198719
oracle,indexed,T1,django,38.294000000000004,72.50099999999999,34.206999999999994,89.32730976132028
oracle,indexed,T1,sqlalchemy,27.604,45.568,17.964,65.07752499637733
oracle,indexed,T2,django,5.15,13.169,8.019,155.70873786407765
oracle,indexed,T2,sqlalchemy,5.973,12.296,6.3229999999999995,105.85970199229865
oracle,indexed,T3,django,7.946,10.524000000000001,2.5780000000000003,32.4439969796124
oracle,indexed,T3,sqlalchemy,5.526,8.772,3.2460000000000004,58.74049945711184
oracle,indexed,T4,django,40.919,111.551,70.632,172.61418900755152
oracle,indexed,T4,sqlalchemy,41.891999999999996,108.424,66.53200000000001,158.81791272796718
oracle,indexed,T5,django,101.58,114.356,12.775999999999996,12.577278991927532
oracle,indexed,T5,sqlalchemy,102.81099999999999,103.2,0.38900000000000046,0.37836418282091167
oracle,non-indexed,T1,django,28.095,42.978,14.883000000000004,52.97383876134545
oracle,non-indexed,T1,sqlalchemy,27.902,63.044000000000004,35.14200000000001,125.94796071966168
oracle,non-indexed,T2,django,4.485,14.751,10.266,228.89632107023408
oracle,non-indexed,T2,sqlalchemy,6.315,12.478,6.162999999999999,97.59303246239111
oracle,non-indexed,T3,django,6.957,19.494,12.537,180.2069857697284
oracle,non-indexed,T3,sqlalchemy,3.242,9.578,6.335999999999999,195.43491671807524
oracle,non-indexed,T4,django,49.679,115.94699999999999,66.268,133.39237907365282
oracle,non-indexed,T4,sqlalchemy,43.181999999999995,104.267,61.085,141.45940438145524
oracle,non-indexed,T5,django,105.13,116.088,10.957999999999995,10.423285456101961
oracle,non-indexed,T5,sqlalchemy,103.899,117.84100000000001,13.941999999999997,13.418800950923494
commercial_a,indexed,T1,django,48.881,90.729,41.848000000000006,85.6119964812504
commercial_a,indexed,T1,sqlalchemy,51.041999999999994,84.81,33.768,66.15728223815682
commercial_a,indexed,T2,django,11.091,31.581,20.49,184.74438734108736
commercial_a,indexed,T2,sqlalchemy,10.966999999999999,17.869,6.902,62.93425731740676
commercial_a,indexed,T3,django,5.479,14.458,8.979000000000001,163.8802701222851
commercial_a,indexed,T3,sqlalchemy,5.244000000000001,5.274,0.029999999999999645,0.5720823798627039
commercial_a,indexed,T4,django,77.879,174.539,96.66,124.115615249297
commercial_a,indexed,T4,sqlalchemy,98.647,189.19,90.54299999999999,91.7848490070656
commercial_a,indexed,T5,django,60.766,168.88,108.114,177.9185728861534
commercial_a,indexed,T5,sqlalchemy,126.915,173.119,46.20399999999999,36.40546822676593
commercial_a,non-indexed,T1,django,42.652,107.321,64.66900000000001,151.62008815530336
commercial_a,non-indexed,T1,sqlalchemy,54.205000000000005,90.929,36.72399999999999,67.75020754542938
commercial_a,non-indexed,T2,django,10.337000000000002,22.369,12.032,116.3974073715778
commercial_a,non-indexed,T2,sqlalchemy,10.437,26.095,15.657999999999998,150.02395324326915
commercial_a,non-indexed,T3,django,6.444,10.977,4.533,70.34450651769089
commercial_a,non-indexed,T3,sqlalchemy,3.965,8.47,4.505,113.6191677175284
commercial_a,non-indexed,T4,django,62.95199999999999,155.81,92.858,147.50603634515187
commercial_a,non-indexed,T4,sqlalchemy,76.46799999999999,202.11599999999999,125.64799999999998,164.3144844902443
commercial_a,non-indexed,T5,django,186.012,173.08599999999998,-12.926000000000021,-6.949014042104817
commercial_a,non-indexed,T5,sqlalchemy,171.936,153.09300000000002,-18.843,-10.959310441094361
