benchmark,dbms,schema_config,transaction_id,name,framework,path,concurrency,duration_s,committed,aborted,abort_pct,qpm,qps,p50_ms,p95_ms,note
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,sql,8,60,5364,0,0.0,5356.7,89.28,102.818,155.756,
tpcc,postgresql,indexed,T2,Payment,django,orm,8,60,9111,0,0.0,9105.3,151.75,58.353,95.053,
tpcc,postgresql,indexed,T2,Payment,django,sql,8,60,75601,0,0.0,75583.9,1259.73,6.084,13.649,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,orm,8,60,10419,0,0.0,10414.0,173.57,52.166,76.287,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,sql,8,60,32974,0,0.0,32965.8,549.43,15.414,29.613,
tpcc,postgresql,indexed,T3,Order-Status,django,orm,8,60,17645,0,0.0,17632.3,293.87,30.699,46.426,
tpcc,postgresql,indexed,T3,Order-Status,django,sql,8,60,22889,0,0.0,22877.8,381.3,24.49,33.521,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,orm,8,60,18053,0,0.0,18046.3,300.77,29.791,46.304,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,sql,8,60,22522,0,0.0,22515.0,375.25,25.169,35.56,
tpcc,postgresql,indexed,T4,Delivery,django,orm,8,60,1057,0,0.0,1049.8,17.5,460.382,946.243,new_order 691366 -> 681349
tpcc,postgresql,indexed,T4,Delivery,django,sql,8,60,9862,0,0.0,9847.9,164.13,47.334,106.993,new_order 691366 -> 597924
tpcc,postgresql,indexed,T4,Delivery,sqlalchemy,orm,8,60,940,0,0.0,933.8,15.56,506.14,1122.118,new_order 691366 -> 682457
tpcc,postgresql,indexed,T4,Delivery,sqlalchemy,sql,8,60,3536,0,0.0,3530.7,58.84,136.304,285.371,new_order 691366 -> 657834
tpcc,postgresql,indexed,T5,Stock-Level,django,orm,8,60,10454,0,0.0,10441.1,174.02,51.045,84.464,
tpcc,postgresql,indexed,T5,Stock-Level,django,sql,8,60,60534,0,0.0,60512.3,1008.54,9.001,13.148,
tpcc,postgresql,indexed,T5,Stock-Level,sqlalchemy,orm,8,60,12781,0,0.0,12773.7,212.9,41.696,69.828,
tpcc,postgresql,indexed,T5,Stock-Level,sqlalchemy,sql,8,60,28662,0,0.0,28655.4,477.59,18.698,29.582,
tpcc,postgresql,indexed,T1,New-Order,django,orm,16,60,2595,0,0.0,2584.2,43.07,416.639,709.128,
tpcc,postgresql,indexed,T1,New-Order,django,sql,16,60,17912,0,0.0,17883.3,298.06,60.236,99.912,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,orm,16,60,2504,0,0.0,2490.7,41.51,437.251,700.089,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,sql,16,60,5598,0,0.0,5588.5,93.14,194.901,313.168,
tpcc,postgresql,indexed,T2,Payment,django,orm,16,60,9192,0,0.0,9180.8,153.01,108.893,227.205,
tpcc,postgresql,indexed,T2,Payment,django,sql,16,60,87372,0,0.0,87250.3,1454.17,10.23,29.071,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,orm,16,60,10584,0,0.0,10576.7,176.28,102.345,160.581,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,sql,16,60,33359,0,0.0,33338.6,555.64,27.991,70.786,
tpcc,postgresql,indexed,T3,Order-Status,django,orm,16,60,18195,0,0.0,18165.5,302.76,59.517,94.71,
tpcc,postgresql,indexed,T3,Order-Status,django,sql,16,60,22152,0,0.0,22134.0,368.9,50.338,66.578,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,orm,16,60,18593,0,0.0,18582.9,309.71,57.941,92.66,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,sql,16,60,22223,0,0.0,22210.1,370.17,50.583,72.015,
tpcc,postgresql,indexed,T4,Delivery,django,orm,16,60,1063,0,0.0,1050.9,17.52,878.861,2304.174,new_order 719975 -> 710329
tpcc,postgresql,indexed,T4,Delivery,django,sql,16,60,10093,0,0.0,10042.6,167.38,91.383,250.373,new_order 719975 -> 628344
tpcc,postgresql,indexed,T4,Delivery,sqlalchemy,orm,16,60,939,0,0.0,924.4,15.41,970.644,2663.762,new_order 719975 -> 711446
tpcc,postgresql,indexed,T4,Delivery,sqlalchemy,sql,16,60,3587,0,0.0,3570.8,59.51,264.057,662.244,new_order 719975 -> 687350
tpcc,postgresql,indexed,T5,Stock-Level,django,orm,16,60,10592,0,0.0,10577.8,176.3,100.048,180.327,
tpcc,postgresql,indexed,T5,Stock-Level,django,sql,16,60,61621,0,0.0,61580.1,1026.33,17.584,26.97,
tpcc,postgresql,indexed,T5,Stock-Level,sqlalchemy,orm,16,60,12986,0,0.0,12956.7,215.95,81.864,143.881,
tpcc,postgresql,indexed,T5,Stock-Level,sqlalchemy,sql,16,60,30220,0,0.0,30209.3,503.49,35.068,61.086,
tpcc,postgresql,indexed,T1,New-Order,django,orm,32,60,2621,0,0.0,2595.8,43.26,807.556,1509.297,
tpcc,postgresql,indexed,T1,New-Order,django,sql,32,60,17941,0,0.0,17872.7,297.88,116.855,224.706,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,orm,32,60,2584,0,0.0,2557.9,42.63,823.218,1543.398,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,sql,32,60,5620,0,0.0,5592.8,93.21,377.359,700.42,
tpcc,postgresql,indexed,T2,Payment,django,orm,32,60,9215,0,0.0,9193.6,153.23,191.97,585.36,
tpcc,postgresql,indexed,T2,Payment,django,sql,32,60,89198,0,0.0,88943.2,1482.39,16.723,73.678,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,orm,32,60,10653,0,0.0,10631.1,177.19,194.907,367.944,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,sql,32,60,33713,0,0.0,33682.4,561.37,47.361,182.38,
tpcc,postgresql,indexed,T3,Order-Status,django,orm,32,60,18321,0,0.0,18254.6,304.24,115.768,207.444,
tpcc,postgresql,indexed,T3,Order-Status,django,sql,32,60,24929,0,0.0,24877.2,414.62,104.478,115.109,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,orm,32,60,20397,0,0.0,20373.7,339.56,106.292,171.64,
tpcc,postgresql,indexed,T3,Order-Status,sqlalchemy,sql,32,60,25540,0,0.0,25525.0,425.42,99.26,120.333,
tpcc,postgresql,indexed,T4,Delivery,django,orm,32,60,1085,0,0.0,1055.2,17.59,1660.383,4985.854,new_order 748741 -> 739394
tpcc,postgresql,indexed,T4,Delivery,django,sql,32,60,9928,0,0.0,9824.6,163.74,170.912,595.294,new_order 748741 -> 663032
tpcc,postgresql,indexed,T4,Delivery,sqlalchemy,orm,32,60,966,0,0.0,934.0,15.57,1883.193,5568.995,new_order 748741 -> 740414
tpcc,postgresql,indexed,T4,Delivery,sqlalchemy,sql,32,60,3585,0,0.0,3551.9,59.2,488.449,1543.967,new_order 748741 -> 717791
tpcc,postgresql,indexed,T5,Stock-Level,django,orm,32,60,10499,0,0.0,10473.0,174.55,201.872,375.467,
tpcc,postgresql,indexed,T5,Stock-Level,django,sql,32,60,62830,0,0.0,62758.3,1045.97,34.591,51.768,
tpcc,postgresql,indexed,T5,Stock-Level,sqlalchemy,orm,32,60,12903,0,0.0,12881.9,214.7,164.108,297.821,
tpcc,postgresql,indexed,T5,Stock-Level,sqlalchemy,sql,32,60,30684,0,0.0,30658.7,510.98,69.255,125.208,
tpcc,postgresql,indexed,T1,New-Order,django,orm,50,60,2669,0,0.0,2634.4,43.91,1189.688,2550.442,
tpcc,postgresql,indexed,T1,New-Order,django,sql,50,60,18114,0,0.0,17980.7,299.68,173.821,373.734,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,orm,50,60,2551,0,0.0,2514.9,41.91,1250.034,2666.124,
tpcc,postgresql,indexed,T1,New-Order,sqlalchemy,sql,50,60,5567,0,0.0,5529.4,92.16,582.482,1191.514,
tpcc,postgresql,indexed,T2,Payment,django,orm,50,60,8919,2162,19.51,8883.4,148.06,278.119,1033.739,"OperationalError: connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  sorry, too many c; OperationalError: connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  sorry, too many c; OperationalError: connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  sorry, too many c"
tpcc,postgresql,indexed,T2,Payment,django,sql,50,60,64668,3023,4.47,64423.7,1073.73,32.187,166.42,"OperationalError: connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  sorry, too many c; OperationalError: connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  sorry, too many c; OperationalError: connection to server at ""127.0.0.1"", port 5432 failed: FATAL:  sorry, too many c"
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,orm,50,60,10711,0,0.0,10682.8,178.05,280.086,691.988,
tpcc,postgresql,indexed,T2,Payment,sqlalchemy,sql,50,60,33384,0,0.0,33327.2,555.45,64.399,333.562,
