benchmark,orm,query_id,query_name,dbms,schema_config,scale_factor,direct_sql_execution_s,total_orm_execution_s,overhead_percentage,rows_returned,sql_status,orm_status,status_note,campaign_id
tpch,SQLALCHEMY,Q17,Small-Quantity-Order Revenue,MySQL,Non-Indexed,1,,,,,timeout,timeout,"censored: exceeded the 900 s ceiling in warmup, recorded as a one-sided bound (section 6) | censored: exceeded the 900 s ceiling in warmup, recorded as a one-sided bound (section 6)",sf1
tpch,DJANGO,Q18,Large Volume Customer,MySQL,Non-Indexed,1,80.276102,72.760165,-9.33,57,ok,ok,,sf1
tpch,SQLALCHEMY,Q18,Large Volume Customer,MySQL,Non-Indexed,1,80.763992,80.439328,-0.36,57,ok,ok,,sf1
tpch,DJANGO,Q19,Discounted Revenue,MySQL,Non-Indexed,1,12.658263,12.943203,2.3,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q19,Discounted Revenue,MySQL,Non-Indexed,1,12.815675,12.624251,-1.45,1,ok,ok,,sf1
tpch,DJANGO,Q20,Potential Part Promotion,MySQL,Non-Indexed,1,,,,,timeout,timeout,"censored: exceeded the 900 s ceiling in warmup, recorded as a one-sided bound (section 6) | censored: exceeded the 900 s ceiling in warmup, recorded as a one-sided bound (section 6)",sf1
tpch,SQLALCHEMY,Q20,Potential Part Promotion,MySQL,Non-Indexed,1,,,,,timeout,timeout,"censored: exceeded the 900 s ceiling in warmup, recorded as a one-sided bound (section 6) | censored: exceeded the 900 s ceiling in warmup, recorded as a one-sided bound (section 6)",sf1
tpch,DJANGO,Q21,Suppliers Who Kept Orders Waiting,MySQL,Non-Indexed,1,35.469768,35.173523,-0.68,100,ok,ok,,sf1
tpch,SQLALCHEMY,Q21,Suppliers Who Kept Orders Waiting,MySQL,Non-Indexed,1,35.094394,35.039381,-0.07,100,ok,ok,,sf1
tpch,DJANGO,Q22,Global Sales Opportunity,MySQL,Non-Indexed,1,1.457574,1.485284,1.9,7,ok,ok,,sf1
tpch,SQLALCHEMY,Q22,Global Sales Opportunity,MySQL,Non-Indexed,1,1.454481,1.45737,0.22,7,ok,ok,,sf1
tpcc,DJANGO,T1,New-Order,MySQL,Non-Indexed,1,0.026463,0.054202,104.82,1,ok,ok,"drift: new_order +16, order +16, order_line +167 | drift: new_order +16, order +16, order_line +167",sf1
tpcc,SQLALCHEMY,T1,New-Order,MySQL,Non-Indexed,1,0.038435,0.033653,-12.44,1,ok,ok,"drift: new_order +16, order +16, order_line +167 | drift: new_order +16, order +16, order_line +167",sf1
tpcc,DJANGO,T2,Payment,MySQL,Non-Indexed,1,0.009894,0.01808,82.74,1,ok,ok,drift: history +16 | drift: history +16,sf1
tpcc,SQLALCHEMY,T2,Payment,MySQL,Non-Indexed,1,0.011126,0.01659,49.11,1,ok,ok,drift: history +16 | drift: history +16,sf1
tpcc,DJANGO,T3,Order-Status,MySQL,Non-Indexed,1,0.013255,0.013369,0.86,1,ok,ok,,sf1
tpcc,SQLALCHEMY,T3,Order-Status,MySQL,Non-Indexed,1,0.010133,0.017411,71.82,1,ok,ok,,sf1
tpcc,DJANGO,T4,Delivery,MySQL,Non-Indexed,1,0.100478,0.166075,65.28,1,ok,ok,drift: new_order -160 | drift: new_order -160,sf1
tpcc,SQLALCHEMY,T4,Delivery,MySQL,Non-Indexed,1,0.061594,0.141538,129.79,1,ok,ok,drift: new_order -160 | drift: new_order -160,sf1
tpcc,DJANGO,T5,Stock-Level,MySQL,Non-Indexed,1,0.011091,0.018084,63.05,1,ok,ok,,sf1
tpcc,SQLALCHEMY,T5,Stock-Level,MySQL,Non-Indexed,1,0.014015,0.015032,7.26,1,ok,ok,,sf1
tpch,DJANGO,Q01,Pricing Summary Report,Commercial System A,Indexed,1,3.138053,5.495451,74.28,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q01,Pricing Summary Report,Commercial System A,Indexed,1,3.181433,3.708813,16.22,4,ok,ok,,sf1
tpch,DJANGO,Q02,Minimum Cost Supplier,Commercial System A,Indexed,1,0.185835,0.134529,-27.99,100,ok,ok,,sf1
tpch,SQLALCHEMY,Q02,Minimum Cost Supplier,Commercial System A,Indexed,1,0.187698,0.192721,1.31,100,ok,ok,,sf1
tpch,DJANGO,Q03,Shipping Priority,Commercial System A,Indexed,1,1.236711,1.397205,5.34,10,ok,ok,,sf1
tpch,SQLALCHEMY,Q03,Shipping Priority,Commercial System A,Indexed,1,1.272695,1.418566,8.09,10,ok,ok,,sf1
tpch,DJANGO,Q04,Order Priority Checking,Commercial System A,Indexed,1,3.226901,25.417364,689.83,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q04,Order Priority Checking,Commercial System A,Indexed,1,3.153612,3.371885,11.6,5,ok,ok,,sf1
tpch,DJANGO,Q05,Local Supplier Volume,Commercial System A,Indexed,1,1.480824,1.487379,0.3,5,ok,ok,,sf1
tpch,SQLALCHEMY,Q05,Local Supplier Volume,Commercial System A,Indexed,1,1.47026,1.557418,5.89,5,ok,ok,,sf1
tpch,DJANGO,Q06,Forecasting Revenue Change,Commercial System A,Indexed,1,1.205906,1.615394,33.34,1,ok,ok,,sf1
tpch,SQLALCHEMY,Q06,Forecasting Revenue Change,Commercial System A,Indexed,1,1.200864,2.086728,73.58,1,ok,ok,,sf1
tpch,DJANGO,Q07,Volume Shipping,Commercial System A,Indexed,1,1.534504,1.661538,6.03,4,ok,ok,,sf1
tpch,SQLALCHEMY,Q07,Volume Shipping,Commercial System A,Indexed,1,1.565372,1.639805,4.47,4,ok,ok,,sf1
tpch,DJANGO,Q08,National Market Share,Commercial System A,Indexed,1,1.580982,1.48373,-5.04,2,ok,ok,,sf1
